reviewerID,unixReviewTime,summary,reviewText,recommend
A5QQOOZJOVPSF,1393372800,Cheapskates guide,"I'm old, and so is my computer.  Any advice that can help me maximize my computer perfomance is very welcome.  MaximumPC has some good tips on computer parts, vendors, and usefull tests",1
A5RHZE7B8SV5Q,1078531200,The best mature Men's magazine.,"There's nothing to say, but if you want a REAL men's magazine, this is it. They have great articles and stories, and I love the bits of knowledge that starts the Know & Tell section, and I love the last page, which has an interview with a celebrity. Just get this magazine and forget all the other mature men's mags.",1
A1RPTVW5VEOSI,1058227200,THE Magazine for the Self-Centered Male,"If you're the kind of man who looks at himself in a full length mirrror every morning, this is the magazine for you.<br />If you think the car you drive defines you, the clothes you wear are the measure of your self-worth, the watch on your wrist tells the value of you as a person, and the woman you're seen with is a measure of your rank in society- you need this magazine.<br />Other men- who might value human relationships- may profitably give it a pass.",0
A1SFRBCMW8XVBW,1422662400,Nothing to it. Just an advertisement. Little article ...,Nothing to it.  Just an advertisement.  Little article content.,0
A1IU9VPCBKZPE8,1286236800,Excellent Computer Magazine,"When PC Magazine ceased publication of their paper magazine, I began to look for a replacement, and I found it in this magazine. This magazine covers the latest information in the field of computers and related technology. Some of my favorite sections are:<br /><br />White paper - In this section a technology is explained. For example, in the last issue I read how AES secures your data.<br /><br />Doctor - This section answers user questions. I always seem to find some very useful information here.<br /><br />Features - Presents feature articles on timely subjects.<br /><br />News - Presents the latest news in the field.<br /><br />Reviews - Here the magazine reviews various tech gear and rates them with a rating system from one to ten.<br /><br />Overall, I have been pleased with the coverage of the computer field that this magazine presents.",1
AG6TX1ZJHLMO7,1224547200,A toned down GQ / Esquire,Details is much less indepth / informative as GQ or Esquire.  The articles are shorter in length and not as journalistic. Articles are more about lifestyles and less about sports / women and cars.  With reveiews that are typically a few paragraphs long.  The magazine itselfs seems geared towards a younger male and a more metrosexual lifestyle. The price is right and for $10 it a great investment as you most likely find a few things each month of interest.,1
A3OIE7IE9LTPJG,1235520000,Best PC Magazine,"In my mind BEST PC Magazine for upgrades / hardware info, tips . tricks, etc. Great Price",1
A3JPFWKS83R49V,1142380800,Give Me the Details,"Details is a mildly interesting magazine that is geared toward men of various ages and lifestyles. The main group that Details aims to capture is the 17 to 35 year- old male but there are articles in each magazine that could be appealing to men of many different ages, mostly in the middle to upper income groups.<br /><br />Some things about Details quickly set it apart from other magazines. One difference is the ""departments"". Most magazines have departments, but instead of talking about the same things each month, these departments vary in their content (the only exceptions being ""Know- Tell"" and the ""The Details""). Each one contains similar stories from one month to the next, but with different subtitles, helping to make each issue a little fresher than it would otherwise be.<br /><br />As far as the writing goes, Details offers a great deal of diversity for a magazine. Yes, it is generally focused on things of interest to men, but it covers a very broad range of interests. You can find articles in this magazine on such diverse topics as the death penalty, raising kids, buying a new coat, setting up an internet business, breaking up with a girlfriend, or purchasing the best vodka. There are articles geared toward single men and married men, as well as younger men and middle- aged men.<br /><br />I like some of the articles found here but there is one problem I have with the writing in Details. It is common to find eye- catching headlines on the cover of Details that tempt you to find out more. This is nothing new and most every magazine does this. But the problem is that many of these eye- popping stories fail to keep you amazed when you read them. Take for example an article in a recent issue. On the front, it reads ""Is Your Wife a Bad Mom""? It sound like an engaging, intellectual read. But once you find the article and take in its 1,000+ words, you quickly discover that there is little or no substance. Basically, it simply tells men that accusing your wife of being a bad mom is a risky undertaking that could hurt her feelings. That is it. There is no intellectual analysis or quotes from studies; only the bottom line conclusion that mothers generally don't like to be called incompetent by their husbands. Other headlining articles in this magazine lead to similar disappointment.<br /><br />The writing in this magazine is on the edge and very blunt. It is common to find several four- letter words in many of the articles and while this doesn't bother me at all, I know that some readers will consider it too raw, too edgy, and too explicit. Details writers have no problem telling it like it is, and this can be both good and bad depending on one's perspective.<br /><br />Besides the language, some parts of this magazine could offend certain readers; namely the ""Anthropology"" page at the end. This closing ""article"" is meant to be humorous, but some readers will not see it that way. I don't know if it has always been this way, but what ""Anthropology"" does is show a person or multiple people and then asks the question ""Gay or ______"". For example, I have seen titles like ""Gay or Best Friends?"", ""Gay or Cowboy?"", ""Gay or Neo Punk Rocker?"", and others. With each of these, there is a diagram of sorts with arrows pointing to different clothing and bodily features and short comments about each one. Basically, it is asking you to think about these different attributes of the person or people in the picture and then decide if the way they dress, look, and act makes them gay. I find this silly and immature, but I can see how some readers would find it insulting. I don't know if Details has always done this or if the Anthropology page has been different in the past. But this is how it has been in every issue I have read and it needs to be changed.<br /><br />Advertisements claim about sixty percent of the pages in each issue of this magazine. They cover products like liquor, cars, electronics, cigarettes, fragrance, etc. Even though this magazine covers lots of different things, the item most often featured in the advertisements is clothing. The magazine seems to have a penchant for high fashion and it devotes more pages to expensive clothing than anything else. And each issue often has its own unique smell, thanks to all of the cologne samples. You can flip through the pages and find several samples in each issue, with many of the latest and trendiest scents from the biggest names in cologne.<br /><br />Overall, I am torn between liking or not liking Details Magazine. I like some of the articles on food, drink, politics and the like. But I don't necessarily like the shallow fluff that is often substituted for an intellectual discussion and I can understand how some readers would find certain aspects of this magazine insulting. This magazine is deserving of only about two and one- half stars which I will round up to three stars and give a small recommendation. Some will like this magazine and some will not. It's all a matter of what you like to read about and whether or not you can handle a magazine that pushes the envelope.",1
A3JPFWKS83R49V,1190592000,Maximizing Electronics Enjoyment,"Maximum PC is a magazine for electronics freaks, offering many different articles about electronics; how to buy them, how to repair them, how to get the most out of them, and how best to replace them. This magazine is aimed in one primary direction: Making the most out of the electronic devices available. This is accomplished through the many instructional articles, how to guides, and question and answer sessions.<br /><br />When Maximum PC isn't offering words of wisdom on ways to improve your life with electronics, the magazine is usually offering reviews of new products. The reviews section is one of the largest parts of each issue and while it does a nice job bringing new products to the forefront, the reviews are often less than stellar. Rather than analyze a few products in- depth, Maximum PC instead prefers to offer shorter reviews of many products. This part of the magazine seems more concerned with quantity than quality, in contrast to most of the remainder of the magazine.<br /><br />One thing about Maximum PC that isn't to my liking is the technical nature of many articles. Maximum PC likes to get to the root of things (literally), and it is common to find articles talking about circuits, memory, and other boring subjects. This is fine for those who take their technology to the extremes, but I have no interest in learning about the inter-workings of the wiring inside my personal computer or the electronic pulses that cause my printer to respond on queue. This is a little too much technology for me, but I know there are some readers who will relish the depths that Maximum PC goes to when it strips down electronic devices into their component parts.<br /><br />Overall, Maximum PC is a pretty good electronics magazine for young and middle- aged adults. It loses me from time to time when it gets overly technical, but it still ranks as a good magazine about electronics. The numerous question and answer sessions, the educational articles, and the product reviews make this a magazine worth reading.",1
A5RHZE7B8SV5Q,1078790400,More like half and half PC and BS.,"Maximum PC's slogan is Maximum PC. Minimum BS. Well I think they should make that, Half PC. Half BS. If you buy your subscription on here, you're not getting the CD, which is obviously, the whole essence of the mag. The CD is done just like PC Gamer, but it just has Maximum PC on there, instead of PC Gamer, and this also means, if your PCG CD's won't auto-load, neither will the MPC ones. Since I can't see what the price is for the subscription on here, I cant tell if you're paying the same amount on here for the no CD sub, as you would with the CD. CD sub. price is $29.95. You can obviously look at the top of the page, and see what the price is. The one good thing they have is the Head 2 Head thing they have in the beginning, where they pit two products against each other. This month it was Yahoo! Mail vs. Hotmail. So this really isn't a great magazine, nor a good PC magazine (no pun). If you want a real independent magazine, go with PC Magazine. (And for more on that, read my review...if it ever gets posted).",0
A2VRQ8RNTKY1XT,1497225600,Great magazine,I love glamour mag. I have read it for over 25 years. The articles are most always good and some of the clothes are beautiful.,1
AQ8DU6XVA3USJ,1066348800,cluttered but nice,"This magazine has a lower cover price than some of its competitors, and makes up for it with a massive amount of ads. A few ads contain coupons, for those that like to cut those little things out (unfortunately they are hardly ever for anything I want !). The paper is also a lot thinner than the higher priced home/garden publications, and the photographs do not reproduce that well on it.<br />On the bright side, there are many nice d&eacute;cor ideas, and simply terrific recipes.<br />Taking the October 2003 edition as an example, Fall colors and produce are the theme. It has some ideas on how to display gourds, and an article on a community pumpkin patch, from the June planting by 140 neighbors and friends in a 6000 square ft. area, to harvest time.<br />There are numerous articles on remodeling, ""Foolproof Potted Plants"", on the joys of having hardy succulents in your home, and a lovely piece with lots of photographs on actor Peter Strauss' gorgeous Ojai, California garden.<br />The best article of all, is ""The Magic of Soup"", and some of these recipes are so good they might end up in your family for generations. They are simple to prepare, with easy to find ingredients, and will make a healthy, hearty meal for those frosty days ahead. Also included with the recipes is the preparation and cooking time, and nutritional statistics.<br />As someone who writes a lot of notes and cards, I appreciate the final page which is about letter writing, and how this vanishing form of communicating is good for the soul.<br />All things considered, this magazine gives good value, and is meant for those of us who do not live in a mansion or have hours to devote to a single recipe.",1
A2JJGIJI8X6KRS,1026777600,You can never go wrong with this one,"Having the honor of being one of those people that subscribe to numerous magazines, I find that I am the perfect person to review the subscriptions because I was getting such a large amount to my door.<br />I have kept Better Homes and Garden because it is consistent with it's articles, gardening hints and recipes (both pratical and precise). This one is well worth the money, and I know it isn't as expenisive as some of the others that I subscribe to.<br />I also would recommend ""Country Living"" and ""House & Garden"" in addition to this one.<br />Happy Reading",1
A281NPSIMI1C2R,1009670400,Essential for Decorating Tips!,"If you are looking for ideas for that next decorating project, more than likely you can find at least one article each month to inspire you. With a focus on friends and family, gardening, interior design, building, family matters, flood, good health and shopping, you can't go wrong!<br /><br />I like the ""Yours for the Asking"" section where you can send away a postcard for more information instead of contacting each company.<br /><br />For mom's, the ""kids project"" section will be amusing and your kids will love the ideas.<br /><br />The cartoons are also cute and I had to laugh at the one that said: ""Of course I love you. Didn't you get my fax?""<br /><br />Something about the pictures in this magazine always remind me of a bright sunny day. The open kitchens and lush gardens are just a treat to see.<br /><br />The recipe section really has a personality all of its own. The ""Petite Caramel Apple"" recipe they had in the September 2001 issue was so adorable!<br /><br />I look forward to every issue!<br /><br />~The Rebecca Review",1
A281NPSIMI1C2R,1024012800,Women buy this too...,"I buy this for my husband because he never thinks to buy it for himself since he hates shopping. But anyway, it has articles to help him at the gym, health information from a guys perspective, and workout routines he can adapt for his own use.<br /><br />I find it entertaining and there is always<br />something you can learn about the way men<br />think and react to situations.<br /><br />A magazine with a real personality.<br /><br />~The Rebecca Review",1
A3AFOX1G1FZ3CC,1492214400,Four Stars,"I love the magazine, but the sale adds are starting to take up half the magazine.",1
AXH102X1MH953,1460592000,Love it,love my magazine,1
A1COZPXWL7Q7WJ,1428883200,Five Stars,Fun,1
A3MQ98LDJDY2V5,1520812800,Motivational,Great articles .. i like looking at the photos. They are inspiring. Nice variations on same old workouts,1
