Label,Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8
3,0.9173254,0.8680227,0.6581612,0.30603316,0.6588848,1.0060271,0.5421779,1.0775498
1,-0.008093715,0.16731471,0.33265907,0.16951188,0.68215126,-0.269633,0.5623702,0.6953471
3,0.41459182,0.9169079,0.9480518,1.0919023,0.13262522,0.799942,0.6262842,1.0340188
3,0.6468155,0.18110996,0.2871246,0.5533272,0.39717188,1.0885438,0.7426975,0.8629636
1,0.08100451,0.043141842,0.65745515,0.20512922,0.41597253,-0.18104227,-0.02654852,0.6070979
3,0.43716037,0.55720884,0.24682507,0.32131475,0.5100733,0.81872684,0.7198303,0.58796805
1,0.5781915,0.52542317,0.4353975,0.5582192,0.379749,0.32486615,-0.0815932,0.5953624
3,0.18657991,0.9385791,0.27014285,0.74411535,0.92681444,0.3191877,1.0999727,0.58136564
2,0.619726,0.7094626,0.000935406,0.62909406,0.6184507,0.025527269,0.8051764,0.089123815
2,0.44079524,0.2255007,0.5710367,0.36839774,0.7334969,0.70920384,0.69363034,0.66450596
3,0.39499682,0.62278533,0.76339287,0.43258905,0.38672245,0.9206101,0.32251796,0.2868716
1,0.32462275,0.39304507,0.3303944,0.6276374,-0.07865797,0.62870765,-0.23347841,0.60010433
3,0.19397807,0.24909747,0.20697251,0.7098703,1.0530429,0.5906252,0.24805629,0.77761155
2,0.12540314,0.51818216,-0.094917804,0.26093903,0.75048494,-0.037691563,0.18164727,0.60497594
3,1.0888125,0.48713696,0.62274015,0.38032535,0.60657614,0.6315791,0.15700841,0.38055366
2,0.7464155,0.51315784,0.004158646,0.64232904,0.30187616,0.8333926,0.030698359,0.5996523
2,0.73056793,0.5851266,0.46974248,0.072767645,0.08453277,0.50911087,0.15074834,0.8971148
2,-0.036563337,0.16368374,0.7425601,0.46808597,0.5459901,0.41636616,0.8701273,-0.022290796
2,0.05576533,0.71365273,0.5425213,0.4753934,0.45286185,0.5724892,0.89454645,0.20164078
1,0.16570309,0.1830741,-0.083693996,-0.22831039,-0.069759324,-0.14916734,0.14689986,0.15107936
1,0.08883787,0.5160448,-0.09739582,0.6136293,-0.270423,0.20946133,0.66288966,0.69357175
1,0.35351866,-0.021670476,0.6671678,0.2877925,0.47220176,0.024166957,0.12042526,0.674933
3,1.0728873,0.35517454,0.23226473,0.9972533,0.2782212,0.98289204,0.64465725,0.8850453
2,0.25238347,0.89174706,-0.06655693,0.59172744,0.021186113,0.09491077,0.39651683,0.48128942
1,0.010363162,-0.057863936,0.48407573,-0.16694002,0.31250376,0.2592901,0.3556193,0.041027784
1,-0.20271407,0.5779106,0.41087234,0.59213907,0.35126436,-0.044692338,-0.035166934,0.17401262
1,0.5875846,0.19158457,0.3378236,0.019712195,0.06897205,-0.055468246,0.6954206,0.31050617
1,0.68342686,0.6617912,-0.14285655,0.47225702,-0.2087243,-0.10908766,-0.23749746,-0.1899379
3,0.20192388,0.9398273,0.7426708,0.67297465,0.34163404,0.9371934,0.9595808,0.5473713
3,0.9031684,0.56024444,0.44048274,0.87813544,0.5268944,0.7471735,1.0990059,0.7089322
1,0.3238408,0.69065094,0.573164,0.23954397,-0.16236065,-0.29800242,0.25746542,0.37219244
2,0.7661678,0.22502895,0.6866349,0.41996002,0.72963655,0.44120225,0.4225107,0.062909216
2,0.4532341,0.21461001,0.14995056,0.7006302,0.36013147,0.8216008,0.2373971,0.092252284
1,0.36134198,-0.09470855,0.23489684,0.20996995,0.47325104,0.18234351,-0.1987925,0.13866173
1,0.55963296,0.26237988,0.40218794,0.34067315,-0.28449076,0.26944155,0.15795682,0.6934129
1,-0.17950024,-0.016791657,0.3306079,0.49928045,-0.0443753,-0.036014825,-0.28701186,0.14577183
1,0.5397543,0.5232106,0.2305195,0.6515632,-0.09785314,0.64538705,0.5517358,0.59612346
2,0.7443397,0.25619787,0.45177788,0.20429137,0.31875253,0.2909748,0.3217911,0.5628778
2,0.8319974,0.8125609,0.1991008,0.58050907,0.2426734,0.36671853,0.69925845,0.116897345
3,0.6196539,0.9620615,1.0496668,0.3709117,0.5969818,0.42747927,0.28802136,0.36145324
2,0.48889163,0.8080697,0.26023304,0.65680087,0.6889373,0.019385785,0.002540529,0.5136171
2,0.47056448,0.7162084,0.7644558,0.13963312,0.27748936,0.49274695,0.5634559,-0.019009262
2,0.89522135,0.05924526,0.3805372,-0.036199033,0.052304864,0.8852495,-0.06365687,0.232082
1,0.21723428,0.27342808,0.5592161,-0.07570134,-0.18372996,-0.14270069,0.47552365,0.5328995
3,0.3402963,0.27519652,0.22362366,0.27971506,0.6779685,0.8290563,0.9295035,0.32869396
2,-0.055411875,0.18002072,0.38457215,0.2569198,0.5074558,0.31599107,0.69426835,0.09279996
1,-0.16508608,0.22509068,0.45576483,0.07498351,0.42045778,0.15685533,-0.21467616,0.28530625
1,0.47799897,0.04626584,0.39993834,0.40715653,0.16410947,0.2445899,0.5379389,0.12315959
3,0.5095873,0.91550636,0.68127674,0.85148096,0.3342975,1.023611,0.6845606,1.091755
1,0.24948978,-0.1396855,0.6659723,0.14322498,0.13003032,0.62347007,-0.24490865,0.34060973
1,0.6990432,0.5653128,0.15473872,0.3667683,-0.2056088,0.6926623,0.38886726,-0.2484955
3,0.8007506,0.43743163,0.91591126,1.0399823,0.6189809,0.28429624,0.6101968,0.4846811
2,0.42093125,0.28343302,0.1907932,0.7321539,0.6904229,0.62870276,0.30479407,0.43583405
2,-0.02578324,0.23477402,0.81623554,0.67646825,0.5520652,0.7234998,0.1367811,0.7388958
2,0.35105553,0.642819,0.62111515,0.48861447,-0.037386358,0.082793,-0.05881715,0.78381
2,0.13615003,0.50950754,0.5413336,0.68167603,0.8330282,-0.054650754,0.44617647,0.4341601
1,-0.28298438,-0.13311075,-0.22511013,0.42603594,-0.03802575,0.25855717,0.2676705,0.31465054
3,1.0661926,1.0242823,0.7853664,1.0924115,0.8032012,0.7800852,0.72644943,0.1591413
2,0.55617845,0.83231676,0.22081941,0.008000195,0.69097114,0.80661297,-0.02562061,0.06864405
3,0.8836582,0.39254072,0.5017459,0.9708863,0.33029184,0.21790507,0.66632307,0.3197655
3,0.58295697,0.8250196,0.58084476,0.262558,0.12094396,0.54796314,0.56606257,0.1749903
3,1.068957,0.34373856,1.0063064,1.0612485,0.25522667,0.9738869,0.50348717,0.989998
2,0.8363573,0.8090154,0.27591816,0.06827694,0.55165654,-0.00666979,0.5322307,0.6840124
1,0.014984638,-0.20469369,0.39399052,0.26746136,0.12608847,0.18343568,-0.29192132,-0.15650754
2,0.061017394,0.3936205,0.8113728,0.7728563,0.5419377,0.61598086,0.84708524,0.005422413
3,0.12002015,0.92240965,0.23731405,0.627859,0.56739914,0.44029385,0.61606175,0.72996575
1,-0.003911689,0.014680013,-0.22663693,0.087514505,0.23032734,-0.063068435,-0.17414673,-0.1489221
3,0.36553717,0.5014956,0.9176501,0.5228707,1.0531698,0.11173424,0.63976526,0.34246978
2,0.59047055,-0.036498994,0.16707774,0.55993736,0.12119168,0.44623414,0.0684247,0.51221055
3,0.28479582,0.88712573,0.7279072,0.45369673,0.1513997,0.89612275,0.27268565,0.8119904
3,0.36075866,0.8735029,1.0632932,0.77444124,0.84700304,0.59085983,0.8362969,0.78154814
3,0.20725545,0.69714946,0.9692399,0.22557986,1.0880938,0.3249294,1.0439163,0.92559123
2,-0.05632767,0.536151,-0.006511688,0.4271289,0.11908981,0.8181168,0.17532885,0.8410575
2,0.25177675,0.8118404,0.25009593,-0.078472644,0.1501851,0.14117941,0.08292177,0.17900659
2,0.33308434,-0.083970696,0.21649797,0.6762179,0.82364047,0.4396436,0.7423073,-0.038830727
1,-0.20763715,-0.240784,0.4990319,0.10297783,0.10978039,-0.074191496,-0.07034202,-0.17098673
1,0.43532413,0.4336297,0.2544131,-0.25482363,0.099112414,0.50594556,-0.17309244,0.084520124
3,0.4538309,0.18572813,0.44696438,0.7280605,1.0426581,0.80908716,0.8559625,0.61083204
3,0.3499668,0.3674544,0.8125106,0.6538448,0.7848216,0.25792056,1.0030558,0.28296602
3,0.66492033,1.0487989,0.6020601,0.22428745,0.89186937,0.22117183,0.26534006,0.54759765
2,0.8145538,0.287908,0.5169169,0.41055238,0.5493104,0.43912032,0.66993594,0.38847646
3,0.76809675,0.5643024,0.21655792,0.18994477,0.74701536,0.99894845,0.5162467,1.0796912
3,0.46332884,0.28147942,0.14880815,0.4964926,0.24212065,0.31614643,1.0241041,0.66198725
2,0.16764764,0.12954345,0.19385874,0.12579253,0.36272043,0.39506045,0.06371027,0.7414087
1,-0.10735498,0.43941438,0.318144,-0.12660976,0.48390883,-0.10365488,-0.117520645,-0.06504102
3,0.8652836,0.5749756,0.40178362,0.70311165,0.80804086,0.91217816,0.35961294,0.9020113
1,0.19656877,0.21806122,-0.054212645,0.10077046,0.2864483,-0.21267687,-0.19660087,0.20228827
1,0.38158244,0.14230421,-0.29841805,0.32149747,0.6262345,0.50560665,0.4760244,-0.07639839
1,-0.05658512,-0.11006142,0.09757055,0.552463,-0.08598678,0.60716164,0.1974828,-0.14117949
1,-0.1660624,0.364536,0.22150266,0.18168059,0.6661796,0.3607092,-0.07105778,0.36714152
1,0.57713664,0.49187458,-0.14703389,0.23082086,-0.23000889,-0.01837942,0.63741213,0.20089693
3,0.8170817,0.24378613,0.6487411,0.596177,0.9270873,0.5844392,0.67190135,0.11619806
2,0.76854765,0.54410577,0.20404802,0.23862574,0.8032876,0.32762778,-0.09968853,0.86946154
3,0.83743036,0.29990184,0.5761246,0.4408728,0.49255526,0.359093,0.5822592,0.9988878
2,-0.012689292,0.612594,0.01994747,0.015949965,0.81505084,0.61311626,0.014506847,0.68040115
1,0.2382706,0.33776063,0.5374487,-0.26293653,0.60977924,0.64998156,-0.25136346,0.060394555
1,-0.2807005,0.2385109,0.5885869,0.42533833,0.23050942,-0.19947042,0.14386831,-0.10001819
1,0.016530186,0.07620889,0.45123088,-0.010351881,-0.2860822,0.6281995,-0.24728785,0.18459062
1,0.19212517,0.45259768,0.42905495,0.29093176,-0.07588111,-0.17711349,0.112593375,0.16204086
1,-0.29969645,0.40036687,-0.009877428,0.22614302,-0.007763788,-0.2678393,-0.063942745,0.1629597
2,0.44314015,0.2619724,0.082084626,-0.08058211,0.5720817,0.61506903,0.31212118,0.6979767
2,0.16380355,0.14862248,0.5238428,0.80924916,0.8843514,0.32518864,0.54637754,0.4565114
2,0.19398078,0.32836774,0.21439204,0.66570044,0.21274495,-0.031531453,0.6688287,0.34356475
2,-0.08912745,0.6903871,-0.016027302,0.6190702,-0.04640913,0.45095813,0.4678227,0.409572
1,-0.17848061,0.17270729,-0.21948396,-0.28601408,-0.12118943,0.12614222,0.41869426,-0.15121017
1,0.40785807,-0.20894562,0.41601557,0.56493396,0.57976544,0.4357248,0.124363855,0.6420765
1,-0.2540152,0.47743976,-0.25077254,-0.18638392,-0.04941082,-0.07148309,-0.084545895,0.10124864
1,0.020219594,0.24473338,-0.104968384,-0.22711529,0.04142648,0.17477934,0.002570406,0.22485816
1,0.22728081,-0.020005122,-0.05044283,0.5882498,-0.25299388,-0.13604487,0.5550502,-0.23902936
2,0.68359935,0.04593858,0.81062174,0.24824788,0.19470632,0.011514396,0.41636616,0.42183793
3,0.1733908,0.10790336,0.32211813,0.9519992,0.8985318,0.8775619,0.5185527,0.4984747
2,-0.08161321,0.5349733,0.6496279,0.14123622,0.46236354,0.2549073,0.5519207,0.797083
2,0.6850348,0.057734996,0.6304336,0.78527236,0.1585659,0.089618534,0.7760066,0.33185473
1,-0.20303221,0.67197174,-0.049972937,-0.21648277,0.25651854,0.5195886,0.44264713,-0.07082038
2,0.76168597,0.5752817,0.38146308,0.3719952,0.3696971,0.5485315,0.45989868,0.7366634
2,0.5028825,0.44236317,0.48357505,0.45571443,0.5963272,0.29762328,0.34943277,0.6313314
2,-0.09830138,0.08811849,0.6493374,-0.06750041,0.8759926,0.26667708,0.42225188,0.22158493
2,0.2540294,0.8348695,-0.021545231,0.8300393,0.39858907,0.23318394,0.7379525,0.6902347
1,-0.11938147,0.013039574,0.3880379,-0.21809785,0.025373653,0.12190248,0.4636212,-0.026875958
3,0.771735,0.6412534,0.37564456,0.9524038,0.7340845,0.92518723,0.55548567,0.8409485
1,0.4676174,0.5291864,0.3992891,-0.18521397,0.6497433,-0.15188782,-0.07797147,-0.09413071
3,0.44754255,0.7728432,0.14377412,0.35039115,0.817762,1.0060925,0.27582192,0.36881426
2,0.57606506,0.81979644,0.76274484,0.22743496,0.16887838,0.60286856,0.3771855,0.7505169
3,0.25085843,0.6016256,0.40078512,0.3532676,0.57455367,0.8576406,0.3921228,0.17033508
3,0.6225123,0.16583252,0.46329626,0.6399257,0.9598736,0.21950439,0.6201086,0.5160787
2,0.74571747,0.3213439,0.72349143,0.26955208,0.5765819,0.26527023,0.30689538,0.6794206
3,0.27831632,0.5401825,0.66030806,1.0964205,0.73760056,0.19922647,0.46778065,0.17117015
3,0.7010088,0.19427496,0.29828954,0.38613355,1.0582683,0.7474269,1.0450442,0.75330967
1,-0.24500443,-0.16386066,-0.24007712,0.44324046,0.50732636,0.5527997,-0.19741233,0.33146805
2,0.85684013,0.68130636,0.7250438,0.8355149,0.7463722,0.59513307,0.83648854,0.013806492
2,0.30074024,0.42609173,0.328232,0.1640698,0.072145075,0.6887035,0.3152607,0.81909984
1,0.10199137,0.25958395,0.1630756,-0.123935506,0.12450789,-0.27672774,-0.13771151,0.051899835
2,0.66122913,0.33507586,0.5328561,0.60750836,0.7938329,-0.09386751,0.57005346,0.3109405
1,0.57919997,0.3654939,-0.052097246,0.20315646,0.049645007,0.5444618,-0.2827257,0.24430397
1,0.47474974,0.4909258,0.66399425,-0.02878058,0.027979776,0.5882265,0.23099598,0.40059632
1,0.6660974,0.48077565,0.056798443,0.5017715,0.47322643,0.19447237,-0.24814822,-0.124740645
3,1.0972966,0.7932319,0.73225886,0.5220995,0.69401634,0.8612046,0.5988397,0.6360608
1,-0.22609903,0.59883493,-0.09006105,0.3186138,-0.14120977,0.58020395,0.5960543,0.087538734
2,0.57928705,0.39000976,0.007096082,0.6446296,0.0765124,0.093236566,0.8342484,0.6039561
2,0.8330654,-0.022571534,0.7922675,0.65343034,0.35130468,0.07438564,0.06573117,-0.080022246
3,0.5949591,0.4526503,0.29690948,0.3027897,0.8723798,0.891919,0.7346206,0.55709505
3,0.9619452,0.4474836,0.72198546,0.57659453,1.0057173,0.4856877,1.0334983,0.47256476
3,0.6716346,0.352667,0.6167195,0.5390223,0.5878511,0.9900602,0.23103973,0.6657743
2,0.26133844,0.2204706,0.34753025,-0.06444672,0.35288265,0.03881249,-0.070868164,0.30109525
1,0.06406462,0.17649738,0.41763002,0.015177041,-0.18999101,0.41941738,0.09147516,-0.22769679
2,-0.09182054,0.35647088,0.07171127,0.40657982,0.7199321,-0.021260053,0.38913605,0.49409658
3,0.43435264,0.1559368,0.96479917,0.40684927,0.17174995,0.30660552,0.4332868,0.37328216
1,0.054231152,0.52639186,0.5946009,0.18317294,0.14746268,0.20462196,0.050799206,0.26943368
3,1.0676196,0.35645756,0.24265802,0.89730215,0.14754716,0.51554793,0.6335877,0.22286028
1,-0.013079003,0.5547586,0.20053853,0.0687903,0.24641725,0.5587861,0.0715017,0.39477924
