Label, GroupId, Feature1, Feature2, Feature3, Feature4
3,1,757,692,720,297
1,1,961,659,274,507
1,1,65,195,947,186
3,1,526,679,958,531
0,1,878,87,318,239
1,2,195,55,635,182
2,2,179,601,739,613
2,2,225,887,525,197
1,2,12,762,766,502
0,2,571,956,267,537
4,3,139,312,4,651
1,3,78,218,917,759
3,3,199,793,42,485
1,3,292,869,679,344
2,3,645,471,76,338
0,4,575,520,545,188
4,4,544,848,742,384
1,4,162,225,52,658
4,4,443,325,307,700
2,4,747,841,421,184
2,5,272,496,297,334
3,5,20,936,959,243
2,5,245,24,679,701
0,5,195,238,487,838
3,5,6,321,199,656
4,6,729,754,324,682
1,6,389,347,457,60
2,6,817,742,482,845
0,6,257,809,495,50
0,6,614,760,587,31
2,7,269,354,18,578
3,7,891,30,778,643
1,7,579,716,810,534
2,7,945,829,632,687
3,7,586,870,28,14
2,8,387,463,267,186
1,8,779,717,407,201
0,8,43,776,497,235
1,8,525,386,891,995
1,8,159,749,628,188
1,9,252,543,347,470
0,9,111,224,486,488
2,9,93,531,778,580
3,9,77,376,191,481
2,9,967,778,12,347
3,10,232,149,764,236
1,10,162,404,506,717
0,10,217,849,607,367
0,10,167,156,988,303
0,10,445,474,140,400
3,11,381,14,344,3
4,11,971,684,764,945
3,11,928,404,980,765
0,11,993,776,932,894
3,11,930,365,317,399
3,12,835,263,364,352
1,12,472,224,358,743
2,12,70,160,634,379
1,12,237,411,108,451
0,12,318,446,545,290
0,13,140,616,413,632
2,13,551,574,151,621
4,13,205,682,20,873
3,13,851,255,900,703
1,13,777,813,452,642
4,14,544,221,747,781
3,14,837,956,830,302
0,14,763,524,416,939
1,14,360,512,928,291
3,14,761,699,979,395
3,15,461,272,92,483
0,15,298,70,401,65
0,15,288,35,703,14
1,15,708,819,489,211
0,15,257,851,906,221
1,16,251,324,455,884
0,16,442,526,226,739
2,16,663,275,380,848
3,16,453,602,272,81
0,16,219,495,844,726
0,17,711,247,130,345
1,17,292,263,472,171
3,17,575,525,372,958
3,17,721,183,802,582
0,17,31,382,13,740
4,18,28,250,502,924
1,18,339,800,910,849
3,18,969,471,767,611
4,18,64,327,763,30
1,18,880,459,430,101
2,19,274,870,33,619
2,19,382,892,732,999
0,19,911,245,129,887
4,19,922,739,893,254
2,19,341,479,747,169
3,20,600,734,991,99
3,20,435,30,31,527
4,20,213,301,214,969
1,20,130,139,365,618
0,20,412,984,830,767
1,21,511,137,787,595
2,21,709,862,726,980
0,21,178,533,199,126
2,21,594,626,481,865
0,21,45,201,759,981
3,22,163,426,373,324
2,22,277,638,637,36
1,22,451,630,641,968
4,22,511,306,729,671
3,22,661,967,998,865
0,23,106,825,802,211
1,23,987,843,828,249
2,23,570,117,12,811
3,23,120,643,653,660
