video_id,category_id,views,likes,dislikes,comment_count
2kyS6SvSYSE,22,748374,57527,2966,15954
1ZAPwfrtAFY,24,2418783,97185,6146,12703
5qpjK5DgCt4,23,3191434,146033,5339,8181
puqaWrEC7tY,24,343168,10172,666,2146
d380meD0W0M,24,2095731,132235,1989,17518
gHZ1Qz0KiKM,28,119180,9763,511,1434
39idVpFF7NQ,24,2103417,15993,2445,1970
nc99ccSXST0,28,817732,23663,778,3432
jr9QtXwC9vc,1,826059,3543,119,340
TUmyygCMMGA,25,256426,12654,1363,2368
9wRQljFNDW8,17,81377,655,25,177
VifQlJit6A0,24,104578,1576,303,1279
5E4ZBSInqUU,10,687582,114188,1333,8371
GgVmn66oK_A,25,544770,7848,1171,3981
TaTleo4cOs8,15,207532,7473,246,2120
kgaO45SyaO4,28,75752,9419,52,1230
ZAQs-ctOqXQ,23,295639,8011,638,1256
YVfyYrEmzgM,27,78044,5398,53,385
eNSN6qet1kE,28,97007,11963,36,2211
B5HORANmzHw,27,223871,8421,191,1214
vU14JY3x81A,27,115791,9586,75,2800
6VhU_T463sU,28,224019,3585,138,208
_-aDHxoblr4,27,144418,11758,89,1014
JBZTZZAcFTw,26,145921,1707,578,673
lZ68j2J_GOM,23,33980,4884,52,234
dRpNZV18N_g,24,223077,8676,193,1392
fcVjitaM3LY,28,80705,4687,41,437
qeWvgZLz9yU,26,120727,9033,224,1346
iIxy3JN3-jc,25,27943,156,36,83
n30k5CwLhS4,1,50867,715,238,246
U0hAC8O7RoI,2,98378,4035,495,486
CBVGjS_EJok,24,26000,119,69,0
n1WpP7iowLc,10,17158531,787419,43420,125882
hz7ukDjuq4w,24,67661,3781,84,626
p2hJxyF7mok,19,141148,1661,70,236
0mlNzVSJrT0,22,98966,2486,184,532
Om_zGhJLZ5U,1,288922,7515,792,2111
e_7zHm7GsYc,10,13917,1318,24,76
dQvIbulWCM4,23,605932,38397,1387,3412
zZ9FciUx6gs,10,57169,6927,161,565
PaJCFHXcWmM,10,60506,5389,106,455
goP4Z5wyOlM,25,34785,308,26,413
